2023-04-15,10:13:25,ergonomic keyboard,Amazon,-89.5
2023-04-15,11:15:00,Invoice 1001 paid,Joe,1500.0
2023-04-16,08:30:15,coffee and pastry,Starbucks,-12.75
2023-04-16,14:22:10,freelance project payment,Sarah Johnson,750.0
2023-04-17,09:45:30,office supplies,Staples,-45.2
2023-04-17,16:18:45,gas station fill-up,Shell,-68.9
2023-04-18,12:05:20,lunch meeting,Olive Garden,-32.5
2023-04-18,13:30:00,client consultation fee,Mike Chen,200.0
2023-04-19,07:55:10,grocery shopping,Walmart,-125.67
2023-04-19,15:40:25,software subscription,Adobe,-29.99
2023-04-20,10:20:35,book purchase,Barnes & Noble,-24.95
2023-04-20,17:12:50,ride share,Uber,-18.75
2023-04-21,11:30:15,monthly salary,ABC Corp,3200.0
2023-04-21,14:45:00,internet bill,Comcast,-89.99
2023-04-22,09:15:30,parking fee,City Parking,-8.0
2026-05-01,03:33:04.915525,phone bill,ATT,50.0
2026-05-01,07:53:49.649393900,Bills,amazon,-300.0
